ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
1	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
2	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
3	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
4	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
5	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
6	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
7	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
8	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
9	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
10	28.71422117745817	28.71422117745817	28.714221177458178	28.71422117745817
11	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
12	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
13	28.71422117745817	28.71422117745817	28.714221177458164	28.71422117745817
14	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
15	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
16	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
17	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
18	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
19	28.71422117745817	28.71422117745817	28.71422117745817	28.71422117745817
